Sample,Group,Color
CX3CR1neg_don_BMC3_M1,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_M2,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F1,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F2,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F3,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F5,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F1_S83,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F2_S87,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F3_S23,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_F4_S27,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_M1_S43,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_M2_S47,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_M3_S51,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_M4_S55,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC3_M5_S59,CX3CR1neg_don_BMC3,#224E6E
CX3CR1neg_don_BMC6_F2_S55,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC6_F3_S59,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC6_F4_S83,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC6_M1_S27,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC6_M2_S31,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC6_M3_S63,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC6_M4_S87,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC6_M5_S87,CX3CR1neg_don_BMC6,#27658C
CX3CR1neg_don_BMC9_F1,CX3CR1neg_don_BMC9,#3484B3
CX3CR1neg_don_BMC9_F2,CX3CR1neg_don_BMC9,#3484B3
CX3CR1neg_don_BMC9_M1,CX3CR1neg_don_BMC9,#3484B3
CX3CR1neg_don_BMC9_M3,CX3CR1neg_don_BMC9,#3484B3
CX3CR1neg_don_BMC12_F1_S3,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_F2_S35,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_F3_S39,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_F4_S67,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_M1_S7,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_M2_S11,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_M3_S43,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_M4_S71,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC12_M5_S91,CX3CR1neg_don_BMC12,#099FF0
CX3CR1neg_don_BMC15_F1,CX3CR1neg_don_BMC15,#4DBAF0
CX3CR1neg_don_BMC15_M1,CX3CR1neg_don_BMC15,#4DBAF0
CX3CR1neg_don_BMC15_M2,CX3CR1neg_don_BMC15,#4DBAF0
CX3CR1neg_don_BMC15_M3,CX3CR1neg_don_BMC15,#4DBAF0
CX3CR1neg_don_BMC15_M4,CX3CR1neg_don_BMC15,#4DBAF0
CX3CR1neg_don_BMC18_F1_S15,CX3CR1neg_don_BMC18,#82D0F5
CX3CR1neg_don_BMC18_F3_S47,CX3CR1neg_don_BMC18,#82D0F5
CX3CR1neg_don_BMC18_F4_S75,CX3CR1neg_don_BMC18,#82D0F5
CX3CR1neg_don_BMC18_M1_S19,CX3CR1neg_don_BMC18,#82D0F5
CX3CR1neg_don_BMC18_M2_S23,CX3CR1neg_don_BMC18,#82D0F5
CX3CR1neg_don_BMC18_M3_S51,CX3CR1neg_don_BMC18,#82D0F5
CX3CR1neg_don_BMC18_M4_S79,CX3CR1neg_don_BMC18,#82D0F5
CX3CR1neg_don_BMC21_F1_S63,CX3CR1neg_don_BMC21,#AEE5FC
CX3CR1neg_don_BMC21_F2_S3,CX3CR1neg_don_BMC21,#AEE5FC
CX3CR1neg_don_BMC21_M1_S3,CX3CR1neg_don_BMC21,#AEE5FC
CX3CR1neg_don_BMC21_M2_S7,CX3CR1neg_don_BMC21,#AEE5FC
CX3CR1neg_don_BMC21_M3_S11,CX3CR1neg_don_BMC21,#AEE5FC
CX3CR1neg_rec_BMC3_M1,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_M2,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_F2,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_F3,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_F4,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_F1_S81,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_F2_S85,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_F3_S21,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_F4_S25,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_M1_S41,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_M2_S45,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_M3_S49,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_M4_S53,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC3_M5_S57,CX3CR1neg_rec_BMC3,#5B1B73
CX3CR1neg_rec_BMC6_F2_S53,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC6_F3_S57,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC6_F4_S81,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC6_M1_S25,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC6_M2_S29,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC6_M3_S61,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC6_M4_S85,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC6_M5_S85,CX3CR1neg_rec_BMC6,#8127A8
CX3CR1neg_rec_BMC9_F1,CX3CR1neg_rec_BMC9,#A432D9
CX3CR1neg_rec_BMC9_F2,CX3CR1neg_rec_BMC9,#A432D9
CX3CR1neg_rec_BMC9_F3,CX3CR1neg_rec_BMC9,#A432D9
CX3CR1neg_rec_BMC9_F4,CX3CR1neg_rec_BMC9,#A432D9
CX3CR1neg_rec_BMC9_M1,CX3CR1neg_rec_BMC9,#A432D9
CX3CR1neg_rec_BMC9_M2,CX3CR1neg_rec_BMC9,#A432D9
CX3CR1neg_rec_BMC9_M3,CX3CR1neg_rec_BMC9,#A432D9
CX3CR1neg_rec_BMC12_F1_S1,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_F2_S33,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_F3_S37,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_F4_S65,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_M1_S5,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_M2_S9,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_M3_S41,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_M4_S69,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC12_M5_S89,CX3CR1neg_rec_BMC12,#C042FF
CX3CR1neg_rec_BMC15_F2,CX3CR1neg_rec_BMC15,#CC76FA
CX3CR1neg_rec_BMC15_F3,CX3CR1neg_rec_BMC15,#CC76FA
